TIME,DOX2,DOX2_QC,DEPTH,station,PRES
2014-05-01,291.0413513183594,3.6086957,15.2,CCE2,15.31676
2014-05-02,259.4547119140625,2.5,15.199999999999998,CCE2,15.316761
2014-05-03,258.944580078125,2.5,15.199999999999998,CCE2,15.316761
2014-05-04,249.9597625732422,2.5,15.199999999999998,CCE2,15.316761
2014-05-05,242.9746856689453,2.5,15.199999999999998,CCE2,15.316761
2014-05-06,236.0857391357422,2.5,15.199999999999998,CCE2,15.316761
2014-05-07,251.97674560546875,2.5,15.199999999999998,CCE2,15.316761
2014-05-08,260.1383972167969,2.5,15.199999999999998,CCE2,15.316761
2014-05-09,243.19151306152344,2.5,15.199999999999998,CCE2,15.316761
2014-05-10,253.34130859375,2.5,15.199999999999998,CCE2,15.316761
2014-05-11,238.25152587890625,2.5,15.199999999999998,CCE2,15.316761
2014-05-12,248.99803161621094,2.5,15.199999999999998,CCE2,15.316761
2014-05-13,245.16209411621094,2.5,15.199999999999998,CCE2,15.316761
2014-05-14,264.8951416015625,2.5,15.199999999999998,CCE2,15.316761
2014-05-15,266.4083557128906,2.5,15.199999999999998,CCE2,15.316761
2014-05-16,301.6365661621094,2.5,15.199999999999998,CCE2,15.316761
2014-05-17,293.7420349121094,2.5,15.199999999999998,CCE2,15.316761
2014-05-18,246.2371063232422,2.5,15.199999999999998,CCE2,15.316761
2014-05-19,246.53399658203125,2.5,15.199999999999998,CCE2,15.316761
2014-05-20,261.1742858886719,2.5,15.199999999999998,CCE2,15.316761
2014-05-21,284.79345703125,2.5,15.199999999999998,CCE2,15.316761
2014-05-22,276.3251037597656,2.5,15.199999999999998,CCE2,15.316761
2014-05-23,273.2594299316406,2.5,15.199999999999998,CCE2,15.316761
2014-05-24,286.347412109375,2.5,15.199999999999998,CCE2,15.316761
2014-05-25,276.8870544433594,2.5,15.199999999999998,CCE2,15.316761
2014-05-26,264.9992370605469,2.5,15.199999999999998,CCE2,15.316761
2014-05-27,268.6470642089844,2.5,15.199999999999998,CCE2,15.316761
2014-05-28,253.20904541015625,2.5,15.199999999999998,CCE2,15.316761
2014-05-29,256.07989501953125,2.5,15.199999999999998,CCE2,15.316761
2014-05-30,266.59515380859375,2.5,15.199999999999998,CCE2,15.316761
2014-05-31,282.2007751464844,2.5,15.199999999999998,CCE2,15.316761
2014-06-01,265.12713623046875,2.5,15.199999999999998,CCE2,15.316761
2014-06-02,267.9017028808594,2.5,15.199999999999998,CCE2,15.316761
2014-06-03,243.86480712890625,2.5,15.199999999999998,CCE2,15.316761
2014-06-04,237.51812744140625,2.5,15.199999999999998,CCE2,15.316761
2014-06-05,240.7967987060547,2.5,15.199999999999998,CCE2,15.316761
2014-06-06,246.8094024658203,2.5,15.199999999999998,CCE2,15.316761
2014-06-07,235.09071350097656,2.5,15.199999999999998,CCE2,15.316761
2014-06-08,237.4371337890625,2.5,15.199999999999998,CCE2,15.316761
2014-06-09,226.1884765625,2.5,15.199999999999998,CCE2,15.316761
2014-06-10,236.6278839111328,2.5,15.199999999999998,CCE2,15.316761
2014-06-11,278.6578063964844,2.5,15.199999999999998,CCE2,15.316761
2014-06-12,329.9897766113281,2.5,15.199999999999998,CCE2,15.316761
2014-06-13,262.6583557128906,2.5,15.199999999999998,CCE2,15.316761
2014-06-14,262.2823486328125,2.5,15.199999999999998,CCE2,15.316761
2014-06-15,286.5869445800781,2.5,15.199999999999998,CCE2,15.316761
2014-06-16,275.36260986328125,2.5,15.199999999999998,CCE2,15.316761
2014-06-17,259.8277282714844,2.5,15.199999999999998,CCE2,15.316761
2014-06-18,247.2209014892578,2.5,15.199999999999998,CCE2,15.316761
2014-06-19,248.480712890625,2.5,15.199999999999998,CCE2,15.316761
2014-06-20,263.5476379394531,2.5,15.199999999999998,CCE2,15.316761
2014-06-21,271.7748107910156,2.5,15.199999999999998,CCE2,15.316761
2014-06-22,277.2486877441406,2.5,15.199999999999998,CCE2,15.316761
2014-06-23,276.3713073730469,2.5,15.199999999999998,CCE2,15.316761
2014-06-24,274.7077941894531,2.5,15.199999999999998,CCE2,15.316761
2014-06-25,273.7160949707031,2.5,15.199999999999998,CCE2,15.316761
2014-06-26,262.9840393066406,2.5,15.199999999999998,CCE2,15.316761
2014-06-27,268.75299072265625,2.5,15.199999999999998,CCE2,15.316761
2014-06-28,255.8556365966797,2.5,15.199999999999998,CCE2,15.316761
2014-06-29,246.70655822753906,2.5,15.199999999999998,CCE2,15.316761
2014-06-30,251.6412353515625,2.5,15.199999999999998,CCE2,15.316761
2014-07-01,261.884521484375,2.5,15.199999999999998,CCE2,15.316761
2014-07-02,261.4581298828125,2.5,15.199999999999998,CCE2,15.316761
2014-07-03,275.49554443359375,2.5,15.199999999999998,CCE2,15.316761
2014-07-04,268.6877746582031,2.5,15.199999999999998,CCE2,15.316761
2014-07-05,263.8603820800781,2.5,15.199999999999998,CCE2,15.316761
2014-07-06,259.79931640625,2.5,15.199999999999998,CCE2,15.316761
2014-07-07,265.07293701171875,2.5,15.199999999999998,CCE2,15.316761
2014-07-08,275.8389892578125,2.5,15.199999999999998,CCE2,15.316761
2014-07-09,263.7543640136719,2.5,15.199999999999998,CCE2,15.316761
2014-07-10,268.782958984375,2.5,15.199999999999998,CCE2,15.316761
2014-07-11,268.507568359375,2.5,15.199999999999998,CCE2,15.316761
2014-07-12,265.1689453125,2.5,15.199999999999998,CCE2,15.316761
2014-07-13,257.6221618652344,2.5,15.199999999999998,CCE2,15.316761
2014-07-14,251.85093688964844,2.5,15.199999999999998,CCE2,15.316761
2014-07-15,259.0350341796875,2.5,15.199999999999998,CCE2,15.316761
2014-07-16,274.0762023925781,2.5,15.199999999999998,CCE2,15.316761
2014-07-17,272.3971862792969,2.5,15.199999999999998,CCE2,15.316761
2014-07-18,287.379150390625,2.5,15.199999999999998,CCE2,15.316761
2014-07-19,259.9195556640625,2.5,15.199999999999998,CCE2,15.316761
2014-07-20,268.4621276855469,2.5,15.199999999999998,CCE2,15.316761
2014-07-21,260.1156921386719,2.5,15.199999999999998,CCE2,15.316761
2014-07-22,250.71693420410156,2.5,15.199999999999998,CCE2,15.316761
2014-07-23,247.29200744628906,2.5,15.199999999999998,CCE2,15.316761
2014-07-24,249.3538818359375,2.5,15.199999999999998,CCE2,15.316761
2014-07-25,251.15782165527344,2.5,15.199999999999998,CCE2,15.316761
2014-07-26,246.2457275390625,2.5,15.199999999999998,CCE2,15.316761
2014-07-27,246.35569763183594,2.5,15.199999999999998,CCE2,15.316761
2014-07-28,251.4695587158203,2.5,15.199999999999998,CCE2,15.316761
2014-07-29,253.57440185546875,2.5,15.199999999999998,CCE2,15.316761
2014-07-30,252.93931579589844,2.5,15.199999999999998,CCE2,15.316761
2014-07-31,249.34510803222656,2.5,15.199999999999998,CCE2,15.316761
2014-08-01,249.13739013671875,2.5,15.199999999999998,CCE2,15.316761
2014-08-02,254.97605895996094,2.5,15.199999999999998,CCE2,15.316761
2014-08-03,268.5625305175781,2.5,15.199999999999998,CCE2,15.316761
2014-08-04,274.3467102050781,2.5,15.199999999999998,CCE2,15.316761
2014-08-05,278.1673278808594,2.5,15.199999999999998,CCE2,15.316761
2014-08-06,282.5343933105469,2.5,15.199999999999998,CCE2,15.316761
2014-08-07,271.6825256347656,2.5,15.199999999999998,CCE2,15.316761
2014-08-08,272.6247253417969,2.5,15.199999999999998,CCE2,15.316761
2014-08-09,269.59967041015625,2.5,15.199999999999998,CCE2,15.316761
2014-08-10,272.1576232910156,2.5,15.199999999999998,CCE2,15.316761
2014-08-11,266.5349426269531,2.5,15.199999999999998,CCE2,15.316761
2014-08-12,268.9134216308594,2.5,15.199999999999998,CCE2,15.316761
2014-08-13,263.4847717285156,2.5,15.199999999999998,CCE2,15.316761
2014-08-14,264.7808532714844,2.5,15.199999999999998,CCE2,15.316761
2014-08-15,266.6603698730469,2.5,15.199999999999998,CCE2,15.316761
2014-08-16,268.283447265625,2.5,15.199999999999998,CCE2,15.316761
2014-08-17,259.46942138671875,2.5,15.199999999999998,CCE2,15.316761
2014-08-18,249.43141174316406,2.5,15.199999999999998,CCE2,15.316761
2014-08-19,244.3734893798828,2.5,15.199999999999998,CCE2,15.316761
2014-08-20,243.00929260253906,2.5,15.199999999999998,CCE2,15.316761
2014-08-21,248.0704345703125,2.5,15.199999999999998,CCE2,15.316761
2014-08-22,252.3666534423828,2.5,15.199999999999998,CCE2,15.316761
2014-08-23,264.7567443847656,2.5,15.199999999999998,CCE2,15.316761
2014-08-24,266.71673583984375,2.5,15.199999999999998,CCE2,15.316761
2014-08-25,277.0755920410156,2.5,15.199999999999998,CCE2,15.316761
2014-08-26,280.4164123535156,2.5,15.199999999999998,CCE2,15.316761
2014-08-27,277.08807373046875,2.5,15.199999999999998,CCE2,15.316761
2014-08-28,280.3932800292969,2.5,15.199999999999998,CCE2,15.316761
2014-08-29,272.3794860839844,2.5,15.199999999999998,CCE2,15.316761
2014-08-30,272.5102844238281,2.5,15.199999999999998,CCE2,15.316761
2014-08-31,265.6766052246094,2.5,15.199999999999998,CCE2,15.316761
2014-09-01,256.80572509765625,2.5,15.199999999999998,CCE2,15.316761
2014-09-02,255.96063232421875,2.5,15.199999999999998,CCE2,15.316761
2014-09-03,258.7087097167969,2.5,15.199999999999998,CCE2,15.316761
2014-09-04,266.2278137207031,2.5,15.199999999999998,CCE2,15.316761
2014-09-05,263.24249267578125,2.5,15.199999999999998,CCE2,15.316761
2014-09-06,261.8996887207031,2.5,15.199999999999998,CCE2,15.316761
2014-09-07,249.67681884765625,2.5,15.199999999999998,CCE2,15.316761
2014-09-08,252.49794006347656,2.5,15.199999999999998,CCE2,15.316761
2014-09-09,250.35850524902344,2.5,15.199999999999998,CCE2,15.316761
2014-09-10,256.6858215332031,2.5,15.199999999999998,CCE2,15.316761
