date,station,temperature,salinity
2009-05-19,CCE1,14.607370833333334,33.109466104166664
2009-05-20,CCE1,13.214558333333335,33.0898635
2009-05-21,CCE1,12.587485416666667,33.200973
2009-05-22,CCE1,14.775875,33.13402845833333
2009-05-23,CCE1,15.005235416666666,33.15680416666667
2009-05-24,CCE1,14.83966875,33.08819329166666
2009-05-25,CCE1,14.633154166666666,33.0309279375
2009-05-26,CCE1,14.392677083333334,33.064190833333335
2009-05-27,CCE1,12.914172916666667,33.0792813125
2009-05-28,CCE1,13.554591666666667,33.070079916666664
2009-05-29,CCE1,12.931577083333332,33.0769159375
2009-05-30,CCE1,13.397187500000001,33.093347208333334
2009-05-31,CCE1,13.3961625,33.078562291666664
2009-06-01,CCE1,13.788962499999998,33.016332291666664
2009-06-02,CCE1,13.492531249999999,33.059271875
2009-06-03,CCE1,13.587166666666667,33.0404353125
2009-06-04,CCE1,13.846729166666668,33.0570310625
2009-06-05,CCE1,12.6475375,32.988612249999996
2009-06-06,CCE1,12.479114583333333,33.01092147916667
2009-06-07,CCE1,12.606510416666666,33.00597916666667
2009-06-08,CCE1,12.427066666666667,33.01954785416667
2009-06-09,CCE1,12.63365625,33.264175270833334
2009-06-10,CCE1,12.157129166666666,33.304924291666666
2009-06-11,CCE1,11.40946875,33.33560539583333
2009-06-12,CCE1,11.627585416666667,33.30048760416667
2009-06-13,CCE1,11.40265,33.405840625
2009-06-14,CCE1,11.136502083333333,33.64275472916667
2009-06-15,CCE1,11.213725000000002,33.45186366666667
2009-06-16,CCE1,11.661183333333334,33.313915625
2009-06-17,CCE1,11.955047916666667,33.25886002083333
2009-06-18,CCE1,12.50996875,33.26865322916667
2009-06-19,CCE1,12.3667625,33.26059464583333
2009-06-20,CCE1,12.899779166666667,33.36950335416667
2009-06-21,CCE1,12.63071875,33.314112625
2009-06-22,CCE1,13.225079166666667,33.24824329166667
2009-06-23,CCE1,12.7898625,33.224649854166664
2009-06-24,CCE1,13.975183333333334,33.33248758333333
2009-06-25,CCE1,13.52046875,33.24622535416667
2009-06-26,CCE1,13.230722916666666,33.16314658333334
2009-06-27,CCE1,12.690472916666666,33.070206
2009-06-28,CCE1,11.785227083333332,32.91591039583333
2009-06-29,CCE1,12.488233333333334,33.069109812499995
2009-06-30,CCE1,12.889272916666668,32.959443604166665
2009-07-01,CCE1,13.534002083333334,32.997252875
2009-07-02,CCE1,12.713795833333334,32.953418041666666
2009-07-03,CCE1,12.40395625,32.94853304166667
2009-07-04,CCE1,12.821320833333333,32.970879208333336
2009-07-05,CCE1,12.506356250000001,32.9722398125
2009-07-06,CCE1,13.029850000000001,32.97069135416667
2009-07-07,CCE1,12.911837499999999,32.94923260416667
2009-07-08,CCE1,12.8886375,32.93738422916667
2009-07-09,CCE1,13.166710416666668,32.93998916666667
2009-07-10,CCE1,14.061172916666665,33.064686458333334
2009-07-11,CCE1,14.412833333333333,33.04388427083333
2009-07-12,CCE1,14.344160416666668,32.992714291666665
2009-07-13,CCE1,14.20473125,32.998454375
2009-07-14,CCE1,14.041214583333334,33.08856364583333
2009-07-15,CCE1,14.524560416666667,33.19295697916667
2009-07-16,CCE1,13.786789583333332,33.110042625
2009-07-17,CCE1,13.361954166666665,32.9874744375
2009-07-18,CCE1,13.74635625,33.082322125
2009-07-19,CCE1,15.287041666666667,33.268993395833334
2009-07-20,CCE1,14.338724999999998,33.077433354166665
2009-07-21,CCE1,13.069860416666666,32.90722439583333
2009-07-22,CCE1,14.25930625,33.096213999999996
2009-07-23,CCE1,16.10898333333333,33.2894575625
2009-07-24,CCE1,15.165420833333334,33.189161125
2009-07-25,CCE1,14.292774999999999,33.00671002083333
2009-07-26,CCE1,13.754475,32.981435125
2009-07-27,CCE1,13.7746625,33.01702241666667
2009-07-28,CCE1,14.494077083333332,33.115595166666665
2009-07-29,CCE1,14.84055625,33.25557122916667
2009-07-30,CCE1,16.018066666666666,33.259413333333335
2009-07-31,CCE1,16.320983333333334,33.259606312500004
2009-08-01,CCE1,15.502862499999999,33.2640885625
2009-08-02,CCE1,15.143677083333332,33.28893810416667
2009-08-03,CCE1,15.121816666666668,33.285726437499996
2009-08-04,CCE1,14.746839583333333,33.22437308333333
2009-08-05,CCE1,14.103652083333332,33.115651729166665
2009-08-06,CCE1,14.514818750000002,33.2256023125
2009-08-07,CCE1,14.33294375,33.24477904166667
2009-08-08,CCE1,14.403222916666666,33.230780520833335
2009-08-09,CCE1,14.028904166666665,33.2349688125
2009-08-10,CCE1,14.184047916666666,33.234909625
2009-08-11,CCE1,14.299533333333335,33.27616722916667
2009-08-12,CCE1,15.62353125,33.28025175
2009-08-13,CCE1,16.147341666666666,33.2705423125
2009-08-14,CCE1,16.634266666666665,33.3114000625
2009-08-15,CCE1,16.68910625,33.30127245833334
2009-08-16,CCE1,17.473477083333332,33.364497791666665
2009-08-17,CCE1,17.345152083333335,33.39075014583333
2009-08-18,CCE1,17.753239583333333,33.34137097916666
2009-08-19,CCE1,18.07079375,33.33269772916667
2009-08-20,CCE1,18.025545833333336,33.346684770833335
2009-08-21,CCE1,18.0306875,33.36303370833333
2009-08-22,CCE1,17.909302083333333,33.3658431875
2009-08-23,CCE1,17.406839583333333,33.32176552083333
2009-08-24,CCE1,16.727037499999998,33.24950495833333
2009-08-25,CCE1,16.224870833333334,33.1522823125
2009-08-26,CCE1,15.711995833333333,33.1561943125
2009-08-27,CCE1,14.73281875,33.00181683333333
2009-08-28,CCE1,14.649447916666666,32.95210339583333
2009-08-29,CCE1,15.0729375,32.97803341666667
2009-08-30,CCE1,16.36276666666667,33.04033297916667
2009-08-31,CCE1,16.969745833333334,33.054477166666665
2009-09-01,CCE1,17.02588125,33.05688064583333
2009-09-02,CCE1,17.34089375,33.10297589583333
2009-09-03,CCE1,17.54790625,33.07774975
2009-09-04,CCE1,17.54743125,33.10786585416667
2009-09-05,CCE1,17.567833333333333,33.09392008333334
2009-09-06,CCE1,17.584166666666665,33.084287124999996
